Model,Precision@5%,Recall@5%,EF@5%,Precision@10%,Recall@10%,EF@10%,Precision@20%,Recall@20%,EF@20%
Logistic Random Split,0.7800338409475466,0.18359219434488253,3.6735524436978144,0.679492600422833,0.3199920350457985,3.2000556536440508,0.5553911205073996,0.5230983671843887,2.6156024275429126
Logistic Drug Split,0.4739776951672863,0.11263250883392226,2.253382916048183,0.4521375464684015,0.2148851590106007,2.149550565994982,0.3816492450638792,0.3628533568904594,1.814435357440399
XGBoost Random Split,0.9213197969543148,0.2168458781362007,4.338935586970629,0.853276955602537,0.40183193946634804,4.018489302460296,0.7061310782241015,0.665073675826364,3.325508986674278
XGBoost Drug Split,0.8661710037174721,0.2058303886925795,4.1179468191311885,0.7713754646840149,0.3666077738515901,3.667270235921552,0.6367015098722416,0.6053445229681979,3.0270038434230884
