Model,ROC-AUC,PR-AUC
Logistic Random Split,0.8048461908511882,0.5740007640615364
Logistic Drug Split,0.6587385128869563,0.3583731998528979
XGBoost Random Split,0.9075783713077458,0.7575488960063128
XGBoost Drug Split,0.8649946567216487,0.6672683270701075
